review,garage service positive,ease of booking positive,processed_text,sentiment,subthemes
A very good experience and a set time booking,ease of booking positive,,"['good', 'experience', 'set', 'time', 'booking']",positive,{'wait time': 'positive'}
"No hassle, no fuss and a good price",value for money positive,,"['hassle', ',', 'fuss', 'good', 'price']",positive,{}
"Good price ,good fitting service at ATS cleckheaton.",value for money positive,garage service positive,"['Good', 'price', ',', 'good', 'fitting', 'service', 'ATS', 'cleckheaton', '.']",positive,{'garage service': 'positive'}
"Quick and simple website from which to choose the tyres I wanted. Good value, good quality tyres. Whole process from choice to fitting was easy.",tyre quality positive,value for money positive,"['Quick', 'simple', 'website', 'choose', 'tyres', 'wanted', '.', 'Good', 'value', ',', 'good', 'quality', 'tyres', '.', 'Whole', 'process', 'choice', 'fitting', 'easy', '.']",positive,{'incorrect tyres': 'positive'}
"Great choice, quick service and excellent garage for fitting",garage service positive,,"['Great', 'choice', ',', 'quick', 'service', 'excellent', 'garage', 'fitting']",positive,{'garage service': 'positive'}
The staff at the garage have no manners and swear openly in front of customers.,garage service negative,,"['staff', 'garage', 'manners', 'swear', 'openly', 'front', 'customers', '.']",neutral,{'garage service': 'neutral'}
Best prices and fitted by local company.,location positive,value for money positive,"['Best', 'prices', 'fitted', 'local', 'company', '.']",positive,{}
Had to wait in garage for more than an hour to get fitted. Booked a time slot to avoid any wait,wait time negative,ease of booking negative,"['wait', 'garage', 'hour', 'get', 'fitted', '.', 'Booked', 'time', 'slot', 'avoid', 'wait']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
Very easy to use and good prices.,value for money positive,,"['easy', 'use', 'good', 'prices', '.']",positive,{}
"Had the tyres I wanted at the price I liked, and the fitting garage were as good as always.",garage service positive,value for money positive,"['tyres', 'wanted', 'price', 'liked', ',', 'fitting', 'garage', 'good', 'always', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Quick ordering, great service from the garage",garage service positive,,"['Quick', 'ordering', ',', 'great', 'service', 'garage']",positive,{'garage service': 'positive'}
Simple to order. Easy to book your appointment. Tyres turned up on time. Fitters did a great job.,delivery punctuality positive,ease of booking positive,"['Simple', 'order', '.', 'Easy', 'book', 'appointment', '.', 'Tyres', 'turned', 'time', '.', 'Fitters', 'great', 'job', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Easy to use site. Good choice of tyres at a good price. Choice of tyre fitters near my home plentiful.,value for money positive,location positive,"['Easy', 'use', 'site', '.', 'Good', 'choice', 'tyres', 'good', 'price', '.', 'Choice', 'tyre', 'fitters', 'near', 'home', 'plentiful', '.']",positive,{'incorrect tyres': 'positive'}
It was easy to find the tyres I needed and close to home for fitting,location positive,,"['easy', 'find', 'tyres', 'needed', 'close', 'home', 'fitting']",positive,{'incorrect tyres': 'positive'}
Great service car ready on time and price was reasonable,garage service positive,value for money positive,"['Great', 'service', 'car', 'ready', 'time', 'price', 'reasonable']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
Great price and service,value for money positive,,"['Great', 'price', 'service']",positive,{'garage service': 'positive'}
Staff with [REDACTED] went above and beyond to help me organise my booking and ordering my tires. The staff within the chosen garage were also quick and efficient. :),ease of booking positive,length of fitting positive,"['Staff', '[', 'REDACTED', ']', 'went', 'beyond', 'help', 'organise', 'booking', 'ordering', 'tires', '.', 'staff', 'within', 'chosen', 'garage', 'also', 'quick', 'efficient', '.', ':', ')']",positive,{'garage service': 'positive'}
"Quick, convenient, hassle-free. No need to phone around for prices and I'm confident I save money.",value for money positive,,"['Quick', ',', 'convenient', ',', 'hassle-free', '.', 'need', 'phone', 'around', 'prices', ""'m"", 'confident', 'save', 'money', '.']",positive,{}
"PRICE WAS COMPETATIVE, FITTING WAS EASY",garage service positive,value for money positive,"['PRICE', 'COMPETATIVE', ',', 'FITTING', 'EASY']",positive,{}
"[REDACTED]' website was easy to use, gave clear options for tyres suitable for my car. Tyres are good value for the good quality they are. The staff at the garage I chose were very friendly and flexible to fit my needs.",value for money positive,tyre quality positive,"['[', 'REDACTED', ']', ""'"", 'website', 'easy', 'use', ',', 'gave', 'clear', 'options', 'tyres', 'suitable', 'car', '.', 'Tyres', 'good', 'value', 'good', 'quality', '.', 'staff', 'garage', 'chose', 'friendly', 'flexible', 'fit', 'needs', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Easy to order tyres, choose fitting centre and everything went smoothly",garage service positive,ease of booking positive,"['Easy', 'order', 'tyres', ',', 'choose', 'fitting', 'centre', 'everything', 'went', 'smoothly']",positive,{'incorrect tyres': 'positive'}
My tyre was fitted as per time and seem to be efficient . OST of the staff we pleasant,wait time positive,length of fitting positive,"['tyre', 'fitted', 'per', 'time', 'seem', 'efficient', '.', 'OST', 'staff', 'pleasant']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Excellent service very nice garage staff CFM NORTHAMPTON SUPERB,garage service positive,,"['Excellent', 'service', 'nice', 'garage', 'staff', 'CFM', 'NORTHAMPTON', 'SUPERB']",positive,{'garage service': 'positive'}
"Great choice of tyres and prices, smooth ordering and fitting booking",ease of booking positive,value for money positive,"['Great', 'choice', 'tyres', 'prices', ',', 'smooth', 'ordering', 'fitting', 'booking']",positive,{'incorrect tyres': 'positive'}
Easy to order all ready when I got there fitted quickly with no issues at a good price,garage service positive,length of fitting positive,"['Easy', 'order', 'ready', 'got', 'fitted', 'quickly', 'issues', 'good', 'price']",positive,{}
Great service great price you just have to pick the garage carefully,value for money positive,,"['Great', 'service', 'great', 'price', 'pick', 'garage', 'carefully']",positive,{'garage service': 'positive'}
The prices are competitive and the local garage provides great service.,value for money positive,location positive,"['prices', 'competitive', 'local', 'garage', 'provides', 'great', 'service', '.']",positive,{'garage service': 'positive'}
"Easy to navigate website, was sent notification of the appointment, but most important the suggested tyre fitter was excellent. I will be recommending and using [REDACTED] and their suggested fitter, Merityre in Bookham in the future",garage service positive,,"['Easy', 'navigate', 'website', ',', 'sent', 'notification', 'appointment', ',', 'important', 'suggested', 'tyre', 'fitter', 'excellent', '.', 'recommending', 'using', '[', 'REDACTED', ']', 'suggested', 'fitter', ',', 'Merityre', 'Bookham', 'future']",positive,{'incorrect tyres': 'positive'}
Easily arranged on line. Decent price for tyres and only small extra charge for fitting at home. That was done by very pleasant fitter.,ease of booking positive,mobile fitter positive,"['Easily', 'arranged', 'line', '.', 'Decent', 'price', 'tyres', 'small', 'extra', 'charge', 'fitting', 'home', '.', 'done', 'pleasant', 'fitter', '.']",positive,{'incorrect tyres': 'positive'}
"Convenient, easy way to search for tyres and pick a garage and a time that is suitable",ease of booking positive,,"['Convenient', ',', 'easy', 'way', 'search', 'tyres', 'pick', 'garage', 'time', 'suitable']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Good price. Quality tyres.,tyre quality positive,value for money positive,"['Good', 'price', '.', 'Quality', 'tyres', '.']",positive,{'incorrect tyres': 'positive'}
Very good service. Confidence in price.,value for money positive,,"['good', 'service', '.', 'Confidence', 'price', '.']",positive,{'garage service': 'positive'}
"Simple ordering, convenient fitting and sensible prices",value for money positive,,"['Simple', 'ordering', ',', 'convenient', 'fitting', 'sensible', 'prices']",positive,{}
Ease of use The mechanics who fitted my tyres were very helpful.,garage service positive,,"['Ease', 'use', 'mechanics', 'fitted', 'tyres', 'helpful', '.']",positive,{'incorrect tyres': 'positive'}
Easy to order easy to get fitted at a time and place to suit,ease of booking positive,location positive,"['Easy', 'order', 'easy', 'get', 'fitted', 'time', 'place', 'suit']",positive,{'wait time': 'positive'}
"Happy with [REDACTED] but won’t be using the garage to fit them , the man at the garage was very rude to me , so when I need tyres again from [REDACTED] I won’t be going to just tyres in Solihull off life lane",garage service positive,garage service negative,"['Happy', '[', 'REDACTED', ']', '’', 'using', 'garage', 'fit', ',', 'man', 'garage', 'rude', ',', 'need', 'tyres', '[', 'REDACTED', ']', '’', 'going', 'tyres', 'Solihull', 'life', 'lane']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Competitive price and convenient fitting in Northern Ireland.,garage service positive,value for money positive,"['Competitive', 'price', 'convenient', 'fitting', 'Northern', 'Ireland', '.']",positive,{}
Service and price were incomparable to other similar services and fitter couldn’t of been anymore friendlier,garage service positive,value for money positive,"['Service', 'price', 'incomparable', 'similar', 'services', 'fitter', '’', 'anymore', 'friendlier']",positive,{'garage service': 'positive'}
Slow fitting.,garage service negative,length of fitting negative,"['Slow', 'fitting', '.']",positive,{}
"Great prices and selection of tyres, convenient fitting locations",value for money positive,location positive,"['Great', 'prices', 'selection', 'tyres', ',', 'convenient', 'fitting', 'locations']",positive,{'incorrect tyres': 'positive'}
Used them before and was happy with the quick service and price for full fitting,value for money positive,,"['Used', 'happy', 'quick', 'service', 'price', 'full', 'fitting']",positive,{'garage service': 'positive'}
Not a 10 as I found the garage a bit difficult to find,location negative,,"['10', 'found', 'garage', 'bit', 'difficult', 'find']",negative,{'garage service': 'negative'}
"good price, good service",value for money positive,,"['good', 'price', ',', 'good', 'service']",positive,{'garage service': 'positive'}
"Always good online price and very convenient - and excellent - fitting service at SBServices, Strathaven",location positive,value for money positive,"['Always', 'good', 'online', 'price', 'convenient', '-', 'excellent', '-', 'fitting', 'service', 'SBServices', ',', 'Strathaven']",positive,{'garage service': 'positive'}
Good prices. easy to arrange local fitting,location positive,ease of booking positive,"['Good', 'prices', '.', 'easy', 'arrange', 'local', 'fitting']",positive,{}
"Miles better price than anywhere else, selection of fitting centres and methods very versatile",value for money positive,,"['Miles', 'better', 'price', 'anywhere', 'else', ',', 'selection', 'fitting', 'centres', 'methods', 'versatile']",positive,{}
more expensive,value for money positive,value for money negative,['expensive'],neutral,{}
Good price. Local fitters.,value for money positive,location positive,"['Good', 'price', '.', 'Local', 'fitters', '.']",positive,{}
Because the company fitting the tyres took a very long time to do the job.Almost as though they didnt like the fact the tyres had been booked through [REDACTED],length of fitting positive,garage service negative,"['company', 'fitting', 'tyres', 'took', 'long', 'time', 'job.Almost', 'though', 'didnt', 'like', 'fact', 'tyres', 'booked', '[', 'REDACTED', ']']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Contacted to change date as original date was changed by [REDACTED],ease of booking negative,change of date negative,"['Contacted', 'change', 'date', 'original', 'date', 'changed', '[', 'REDACTED', ']']",positive,{}
Dropped the car off at the time stated on the order and 30 mins later ready to drive away simple great job.,length of fitting positive,wait time positive,"['Dropped', 'car', 'time', 'stated', 'order', '30', 'mins', 'later', 'ready', 'drive', 'away', 'simple', 'great', 'job', '.']",positive,{'wait time': 'positive'}
I knew about the superb service because I have bought tyres before from [REDACTED].,garage service positive,,"['knew', 'superb', 'service', 'bought', 'tyres', '[', 'REDACTED', ']', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Efficient and good value,value for money positive,,"['Efficient', 'good', 'value']",positive,{}
"Good choice, easy to use, great pricing",value for money positive,,"['Good', 'choice', ',', 'easy', 'use', ',', 'great', 'pricing']",positive,{}
This is the best price and range of tyres I could find also local garages and good times,location positive,ease of booking positive,"['best', 'price', 'range', 'tyres', 'could', 'find', 'also', 'local', 'garages', 'good', 'times']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
because it was hassle free. booked it online. took it to the garage on a Saturday and collected after. it was cheaper than the garage I took the car to.,value for money positive,,"['hassle', 'free', '.', 'booked', 'online', '.', 'took', 'garage', 'Saturday', 'collected', '.', 'cheaper', 'garage', 'took', 'car', '.']",positive,{'garage service': 'positive'}
I have used [REDACTED] on a number of occasions and have always received great service and a really good quality product. The number and locations of the approved fitting centres makes it easy to fit in with work.,location positive,tyre quality positive,"['used', '[', 'REDACTED', ']', 'number', 'occasions', 'always', 'received', 'great', 'service', 'really', 'good', 'quality', 'product', '.', 'number', 'locations', 'approved', 'fitting', 'centres', 'makes', 'easy', 'fit', 'work', '.']",positive,{'garage service': 'positive'}
"The process was simple and the tyre I bought was a good price. The only issue was that fitting it took 35 minutes from arriving at depot to leaving, which I felt was too long for a pre-arranged appointment.",value for money positive,length of fitting positive,"['process', 'simple', 'tyre', 'bought', 'good', 'price', '.', 'issue', 'fitting', 'took', '35', 'minutes', 'arriving', 'depot', 'leaving', ',', 'felt', 'long', 'pre-arranged', 'appointment', '.']",positive,{'incorrect tyres': 'positive'}
"Excellent service, good prices and lots choices.",value for money positive,,"['Excellent', 'service', ',', 'good', 'prices', 'lots', 'choices', '.']",positive,{'garage service': 'positive'}
Easy to order and choose your own tyre fitter,ease of booking positive,,"['Easy', 'order', 'choose', 'tyre', 'fitter']",positive,{'incorrect tyres': 'positive'}
"Great price, great customer experience at the garage I chose. Couldn’t fault the whole thing",garage service positive,value for money positive,"['Great', 'price', ',', 'great', 'customer', 'experience', 'garage', 'chose', '.', '’', 'fault', 'whole', 'thing']",positive,{'garage service': 'positive'}
"Excellent service, tyres delivered to the fitter arranged.both tyres were fitted to my car in about thirty minutes. Very good service.",delivery punctuality positive,garage service positive,"['Excellent', 'service', ',', 'tyres', 'delivered', 'fitter', 'arranged.both', 'tyres', 'fitted', 'car', 'thirty', 'minutes', '.', 'good', 'service', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Good price and fitting was easy to arrange,value for money positive,ease of booking positive,"['Good', 'price', 'fitting', 'easy', 'arrange']",positive,{}
Good service and price. ‘Faceless’ company,value for money positive,,"['Good', 'service', 'price', '.', '‘', 'Faceless', '’', 'company']",positive,{'garage service': 'positive'}
The website is easy to use and you can choose the garage you want to complete the work,garage service positive,ease of booking positive,"['website', 'easy', 'use', 'choose', 'garage', 'want', 'complete', 'work']",positive,{'garage service': 'positive'}
"Excellent service! Simple website ordering system, tyres delivered to my local garage and fitted in a timely manner.",ease of booking positive,length of fitting positive,"['Excellent', 'service', '!', 'Simple', 'website', 'ordering', 'system', ',', 'tyres', 'delivered', 'local', 'garage', 'fitted', 'timely', 'manner', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Great service and competitive price,value for money positive,,"['Great', 'service', 'competitive', 'price']",positive,{'garage service': 'positive'}
Item went missing from my vehicle during the time it was with the Company that fitted my tyres,garage service negative,,"['Item', 'went', 'missing', 'vehicle', 'time', 'Company', 'fitted', 'tyres']",negative,"{'wait time': 'negative', 'incorrect tyres': 'negative'}"
You missed the appointment time and told me the night before,ease of booking negative,,"['missed', 'appointment', 'time', 'told', 'night']",neutral,{'wait time': 'neutral'}
"Excellent all round, very competitive prices and the team were hugely helpful",value for money positive,,"['Excellent', 'round', ',', 'competitive', 'prices', 'team', 'hugely', 'helpful']",positive,{}
Unbeatable Prices. Brilliant way to purchase tyres and plenty of local garages to fit them.I was unable to find a better deal elsewhere.,location positive,ease of booking positive,"['Unbeatable', 'Prices', '.', 'Brilliant', 'way', 'purchase', 'tyres', 'plenty', 'local', 'garages', 'fit', 'them.I', 'unable', 'find', 'better', 'deal', 'elsewhere', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Excellent service, very quick & efficient at a very good price",value for money positive,,"['Excellent', 'service', ',', 'quick', '&', 'efficient', 'good', 'price']",positive,{'garage service': 'positive'}
Got the tyres I wanted with no hassle and at the best price.,value for money positive,,"['Got', 'tyres', 'wanted', 'hassle', 'best', 'price', '.']",positive,{'incorrect tyres': 'positive'}
Easy to use web site. User friendly appointment fitting and importantly great prices and great range of tyres,value for money positive,ease of booking positive,"['Easy', 'use', 'web', 'site', '.', 'User', 'friendly', 'appointment', 'fitting', 'importantly', 'great', 'prices', 'great', 'range', 'tyres']",positive,{'incorrect tyres': 'positive'}
"Exactly what I wanted. As always, great prices and simple ordering, backed up by an excellent fitter. Exactly what I want.",garage service positive,value for money positive,"['Exactly', 'wanted', '.', 'always', ',', 'great', 'prices', 'simple', 'ordering', ',', 'backed', 'excellent', 'fitter', '.', 'Exactly', 'want', '.']",positive,{}
"Good choice of products on the website, and efficient delivery and fitting process in conjunction with our local garage.",delivery punctuality positive,length of fitting positive,"['Good', 'choice', 'products', 'website', ',', 'efficient', 'delivery', 'fitting', 'process', 'conjunction', 'local', 'garage', '.']",positive,{'garage service': 'positive'}
"Excellent service, and very good cost saving on tyres. Would recommend.",value for money positive,,"['Excellent', 'service', ',', 'good', 'cost', 'saving', 'tyres', '.', 'Would', 'recommend', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Very pleased. Excellent price on line and then fitted locally. What’s not to like,",location positive,value for money positive,"['pleased', '.', 'Excellent', 'price', 'line', 'fitted', 'locally', '.', '’', 'like', ',']",positive,{}
"Good price, arrived in time",delivery punctuality positive,value for money positive,"['Good', 'price', ',', 'arrived', 'time']",positive,{'wait time': 'positive'}
"Excellent service and good price too, have used previously and will use again",value for money positive,,"['Excellent', 'service', 'good', 'price', ',', 'used', 'previously', 'use']",positive,{'garage service': 'positive'}
"New tyres. Ease of purchase, garage professional and courteous.",garage service positive,,"['New', 'tyres', '.', 'Ease', 'purchase', ',', 'garage', 'professional', 'courteous', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Affordable and good online tyre data info. The only negative comment is I wanted to book at home service but could not book a slot except am or pm,value for money positive,mobile fitter positive,"['Affordable', 'good', 'online', 'tyre', 'data', 'info', '.', 'negative', 'comment', 'wanted', 'book', 'home', 'service', 'could', 'book', 'slot', 'except', 'pm']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Nice and Easy. The website nice and simple to use. A local garage fitted them at a time of my choosing. No issues or problems with the service.,location positive,ease of booking positive,"['Nice', 'Easy', '.', 'website', 'nice', 'simple', 'use', '.', 'local', 'garage', 'fitted', 'time', 'choosing', '.', 'issues', 'problems', 'service', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
"Why the wait. Purchasing the new tyre and booking an appointment for fitting was very straightforward, but I was rather disappointed that having made a booking I still had to wait around for nearly 2 hours at the garage when the actual fitting only took 20 mins tops.",length of fitting positive,ease of booking positive,"['wait', '.', 'Purchasing', 'new', 'tyre', 'booking', 'appointment', 'fitting', 'straightforward', ',', 'rather', 'disappointed', 'made', 'booking', 'still', 'wait', 'around', 'nearly', '2', 'hours', 'garage', 'actual', 'fitting', 'took', '20', 'mins', 'tops', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Thought I’d already done this but it’s definitely worth doing again as I’m very satisfied with [REDACTED] and the authorised fitting firm Shawfix. Very good system,efficient and great value for money. I highly recommend this company and I’m glad a friend of mine recommended them to me too.",garage service positive,value for money positive,"['Thought', '’', 'already', 'done', '’', 'definitely', 'worth', '’', 'satisfied', '[', 'REDACTED', ']', 'authorised', 'fitting', 'firm', 'Shawfix', '.', 'good', 'system', ',', 'efficient', 'great', 'value', 'money', '.', 'highly', 'recommend', 'company', '’', 'glad', 'friend', 'mine', 'recommended', '.']",positive,{}
Easy to use and faultless from start to finish,ease of booking positive,,"['Easy', 'use', 'faultless', 'start', 'finish']",positive,{}
Everything done as expected. However either this fitter (ATS) or my local garage where I had a service done has put some finger marks on the inner roof lining. but I can't be sure which.,damage negative,garage service positive,"['Everything', 'done', 'expected', '.', 'However', 'either', 'fitter', '(', 'ATS', ')', 'local', 'garage', 'service', 'done', 'put', 'finger', 'marks', 'inner', 'roof', 'lining', '.', 'ca', ""n't"", 'sure', '.']",positive,{'garage service': 'positive'}
Tyres purchase and fitting. Tyres fitted to my car locally at a great price.Kept informed of fitting date and time throughout.All in all a fuss free and pleasurable experience which I will definitely use again.,garage service positive,value for money positive,"['Tyres', 'purchase', 'fitting', '.', 'Tyres', 'fitted', 'car', 'locally', 'great', 'price.Kept', 'informed', 'fitting', 'date', 'time', 'throughout.All', 'fuss', 'free', 'pleasurable', 'experience', 'definitely', 'use', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Very friendly and professional. Thanks for a speedy and painless turnaround. Definitely will be using you again.,length of fitting positive,garage service positive,"['friendly', 'professional', '.', 'Thanks', 'speedy', 'painless', 'turnaround', '.', 'Definitely', 'using', '.']",positive,{}
Great garage great tyres great service,tyre quality positive,garage service positive,"['Great', 'garage', 'great', 'tyres', 'great', 'service']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Quick and easy service from ordering the tyres to the fitting.,garage service positive,ease of booking positive,"['Quick', 'easy', 'service', 'ordering', 'tyres', 'fitting', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Good competitive price and fitted bang on time slot,value for money positive,wait time positive,"['Good', 'competitive', 'price', 'fitted', 'bang', 'time', 'slot']",positive,{'wait time': 'positive'}
Great service. Easy to order with a first class fitting service,garage service positive,ease of booking positive,"['Great', 'service', '.', 'Easy', 'order', 'first', 'class', 'fitting', 'service']",positive,{'garage service': 'positive'}
Busy garage. Very busy garage make a appointment very pleased with the work that was done,garage service positive,garage service negative,"['Busy', 'garage', '.', 'busy', 'garage', 'make', 'appointment', 'pleased', 'work', 'done']",positive,{'garage service': 'positive'}
It was easy to pick the tyres I wanted at a great price. Then select a garage and time that suits you.,value for money positive,ease of booking positive,"['easy', 'pick', 'tyres', 'wanted', 'great', 'price', '.', 'select', 'garage', 'time', 'suits', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Excellent service and simple system for the whole process. Would recommend to all and will definitely use again.,ease of booking positive,,"['Excellent', 'service', 'simple', 'system', 'whole', 'process', '.', 'Would', 'recommend', 'definitely', 'use', '.']",positive,{'garage service': 'positive'}
"Great service, very easy to use website. The staff at my local dealer - Oak Tree Garage,Darlington Road, DL6 2PA - were very polite, helpful and informative. Overall a brilliant experience, I will definitely use them again.",garage service positive,location positive,"['Great', 'service', ',', 'easy', 'use', 'website', '.', 'staff', 'local', 'dealer', '-', 'Oak', 'Tree', 'Garage', ',', 'Darlington', 'Road', ',', 'DL6', '2PA', '-', 'polite', ',', 'helpful', 'informative', '.', 'Overall', 'brilliant', 'experience', ',', 'definitely', 'use', '.']",positive,{'garage service': 'positive'}
New Tyres. Quick delivery to fitting centre that was also quick and very efficient. will def. use [REDACTED] and the garage again.,delivery punctuality positive,length of fitting positive,"['New', 'Tyres', '.', 'Quick', 'delivery', 'fitting', 'centre', 'also', 'quick', 'efficient', '.', 'def', '.', 'use', '[', 'REDACTED', ']', 'garage', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Very professional and helpful staff.Strongly recommend although I had slightly problems with one of the garage's date after I selected the convenient garage with their availability date and hour to fit four tyres for my car.15 minutes later I received an email from [REDACTED], saying that the nominated garage is fully booked on that day ( when I booked there were showing other three different times as well on that day !! ).The garages's deta bases have to be up to date with [REDACTED] system. Many thanks to [REDACTED] staff were resolved the problem very quickly.",wait time positive,advisor/agent service positive,"['professional', 'helpful', 'staff.Strongly', 'recommend', 'although', 'slightly', 'problems', 'one', 'garage', ""'s"", 'date', 'selected', 'convenient', 'garage', 'availability', 'date', 'hour', 'fit', 'four', 'tyres', 'car.15', 'minutes', 'later', 'received', 'email', '[', 'REDACTED', ']', ',', 'saying', 'nominated', 'garage', 'fully', 'booked', 'day', '(', 'booked', 'showing', 'three', 'different', 'times', 'well', 'day', '!', '!', ')', '.The', 'garages', ""'s"", 'deta', 'bases', 'date', '[', 'REDACTED', ']', 'system', '.', 'Many', 'thanks', '[', 'REDACTED', ']', 'staff', 'resolved', 'problem', 'quickly', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Will use again. Ease of ordering on line, choice of garage, good price and pleased with service all round.",value for money positive,,"['use', '.', 'Ease', 'ordering', 'line', ',', 'choice', 'garage', ',', 'good', 'price', 'pleased', 'service', 'round', '.']",positive,{'garage service': 'positive'}
"Excellent service. Price is great (fitting included in price, no hidden costs). Fast and great service, will always recommend.",extra charges positive,value for money positive,"['Excellent', 'service', '.', 'Price', 'great', '(', 'fitting', 'included', 'price', ',', 'hidden', 'costs', ')', '.', 'Fast', 'great', 'service', ',', 'always', 'recommend', '.']",positive,{'garage service': 'positive'}
